Date,Minimum Temperature,Maximum Temperature,Average Temperature,Relative Humidity(%),Precipitation,Visibility (in miles),Cloud Cover (%),Conditions
02/03/2020,51.1,62.1,56.5,19.65,0.0,9.9,8.7,Clear
02/04/2020,42.1,61.0,52.3,23.42,0.0,9.9,0.0,Clear
02/05/2020,44.8,62.8,54.2,28.12,0.0,9.9,0.0,Clear
02/06/2020,47.1,65.8,56.3,47.54,0.0,9.9,0.0,Clear
02/07/2020,47.9,67.8,57.7,59.08,0.0,9.8,0.0,Clear
02/08/2020,52.1,69.8,58.4,67.49,0.0,7.6,15.3,Clear
02/09/2020,56.0,61.0,58.2,64.66,0.0,9.3,83.0,Overcast
02/10/2020,52.1,74.7,64.2,34.53,0.0,9.9,20.7,Clear
02/11/2020,53.0,73.9,62.5,43.18,0.0,9.9,0.1,Clear
02/12/2020,51.2,69.0,59.3,52.88,0.0,9.7,1.1,Clear
02/13/2020,50.0,69.8,59.2,59.14,0.0,9.5,8.5,Clear
02/14/2020,50.0,69.8,58.8,63.67,0.0,9.5,0.3,Clear
02/15/2020,48.9,68.9,58.8,65.31,0.0,8.0,0.5,Clear
02/16/2020,51.3,69.8,59.8,67.89,0.0,6.7,9.8,Clear
02/17/2020,51.1,69.8,59.6,69.46,0.0,7.0,2.4,Clear
02/18/2020,56.0,71.7,61.6,71.39,0.0,5.3,48.8,Partially cloudy
02/19/2020,57.8,69.8,63.0,64.88,0.0,6.5,37.3,Partially cloudy
02/20/2020,53.0,80.8,64.8,55.65,0.0,7.3,0.0,Clear
02/21/2020,57.8,78.9,66.9,46.13,0.0,9.3,27.9,Partially cloudy
02/22/2020,59.1,65.8,61.8,63.19,0.04,9.8,67.5,"Rain, Partially cloudy"
02/23/2020,54.0,66.7,60.4,63.94,0.0,9.8,29.5,Partially cloudy
02/24/2020,52.1,70.8,60.6,67.16,0.0,8.8,0.0,Clear
02/25/2020,53.1,82.0,67.3,45.01,0.0,8.9,0.0,Clear
02/26/2020,54.0,80.0,66.6,25.82,0.0,9.9,0.0,Clear
02/27/2020,57.9,86.0,71.6,22.57,0.0,9.8,0.0,Clear
02/28/2020,64.3,88.0,74.0,22.29,0.0,9.9,0.0,Clear
02/29/2020,61.0,71.8,64.8,60.87,0.0,9.7,11.2,Clear
03/01/2020,53.0,61.9,58.9,58.19,0.01,9.6,67.0,"Rain, Partially cloudy"
03/02/2020,50.0,74.0,63.3,38.61,0.0,9.9,7.1,Clear
03/03/2020,56.9,80.0,67.8,28.8,0.0,9.7,0.0,Clear
03/04/2020,57.8,73.9,63.0,67.26,0.0,7.9,23.2,Clear
03/05/2020,57.8,73.8,64.2,66.15,0.0,7.3,37.5,Partially cloudy
03/06/2020,56.8,71.7,61.4,71.81,0.0,7.1,40.0,Partially cloudy
03/07/2020,56.9,66.5,59.8,63.21,0.0,9.9,74.6,Partially cloudy
03/08/2020,52.1,66.6,59.3,62.98,0.0,9.9,14.9,Clear
03/09/2020,53.9,73.7,63.1,47.85,0.0,9.9,8.6,Clear
03/10/2020,58.9,66.7,63.4,76.05,0.28,8.4,87.7,"Rain, Overcast"
03/11/2020,62.0,71.8,65.6,68.0,0.0,9.9,45.4,Partially cloudy
03/12/2020,56.8,64.0,58.4,79.43,1.1,8.0,50.5,"Rain, Partially cloudy"
03/13/2020,55.0,60.1,57.1,80.96,0.39,7.2,78.5,"Rain, Overcast"
03/14/2020,56.9,60.1,58.2,79.55,0.16,8.5,79.4,"Rain, Overcast"
03/15/2020,53.9,64.9,59.4,63.84,0.05,9.7,87.2,"Rain, Overcast"
03/16/2020,53.9,64.9,58.6,65.03,0.31,8.9,66.2,"Rain, Partially cloudy"
03/17/2020,47.0,61.9,54.3,62.54,0.0,9.9,36.9,Partially cloudy
03/18/2020,47.9,64.0,55.9,54.25,0.0,9.9,0.0,Clear
03/19/2020,51.2,64.0,57.0,61.29,0.0,9.9,56.4,Partially cloudy
03/20/2020,53.8,65.8,59.8,61.6,0.0,9.9,48.5,Partially cloudy
03/21/2020,56.0,67.8,61.3,62.83,0.01,9.9,54.0,"Rain, Partially cloudy"
03/22/2020,53.0,71.7,60.8,65.63,0.87,7.9,42.0,"Rain, Partially cloudy"
03/23/2020,56.1,66.7,60.9,67.96,0.2,9.2,41.3,"Rain, Partially cloudy"
03/24/2020,49.1,65.0,58.5,65.94,0.0,9.4,37.4,Partially cloudy
03/25/2020,56.9,65.8,60.2,54.47,0.0,9.9,64.1,Partially cloudy
03/26/2020,48.8,62.7,56.4,47.0,0.0,9.8,3.4,Clear
03/27/2020,51.1,66.6,58.6,43.51,0.0,9.9,3.5,Clear
03/28/2020,53.8,66.7,60.0,53.93,0.0,9.8,14.0,Clear
03/29/2020,53.8,67.8,60.1,61.41,0.0,9.5,16.1,Clear
03/30/2020,53.9,74.7,62.5,58.7,0.0,9.8,0.0,Clear
03/31/2020,56.8,76.8,65.8,54.64,0.0,9.8,0.0,Clear
04/01/2020,60.1,73.7,65.4,65.35,0.0,8.8,20.5,Clear
04/02/2020,61.0,69.8,64.7,59.07,0.0,9.7,60.6,Partially cloudy
04/03/2020,56.8,69.0,63.1,60.52,0.0,9.4,13.7,Clear
04/04/2020,57.7,69.8,62.4,62.07,0.0,9.3,66.9,Partially cloudy
04/05/2020,57.8,64.9,61.1,64.02,0.12,9.9,78.8,"Rain, Overcast"
04/06/2020,56.9,64.0,59.2,72.55,0.68,8.3,74.9,"Rain, Partially cloudy"
04/07/2020,53.1,65.8,58.5,67.6,0.64,8.4,73.5,"Rain, Partially cloudy"
04/08/2020,52.0,62.9,56.8,65.03,0.02,9.2,51.2,"Rain, Partially cloudy"
04/09/2020,52.0,56.8,54.1,74.75,0.71,7.9,75.2,"Rain, Overcast"
04/10/2020,51.1,65.8,57.0,65.84,0.22,9.7,66.8,"Rain, Partially cloudy"
04/11/2020,53.9,72.8,61.8,63.21,0.0,9.9,15.3,Clear
04/12/2020,57.8,62.8,61.0,70.89,0.03,9.2,85.1,"Rain, Overcast"
04/13/2020,57.0,65.8,61.2,70.38,0.01,9.3,63.9,"Rain, Partially cloudy"
04/14/2020,54.0,73.8,62.6,67.89,0.0,8.6,2.9,Clear
04/15/2020,56.8,81.8,69.1,39.07,0.0,8.1,0.0,Clear
04/16/2020,58.9,76.7,65.2,60.46,0.0,6.3,3.3,Clear
04/17/2020,58.9,67.9,62.9,62.2,0.0,6.6,54.2,Partially cloudy
04/18/2020,60.1,67.9,63.4,62.26,0.0,6.7,86.3,Overcast
04/19/2020,58.9,69.0,63.7,59.24,0.0,6.7,70.8,Partially cloudy
04/20/2020,58.9,69.0,63.2,64.27,0.0,6.3,54.7,Partially cloudy
04/21/2020,57.8,73.3,65.4,60.69,0.0,6.3,10.5,Clear
04/22/2020,58.9,80.7,71.0,50.7,0.0,6.4,0.0,Clear
04/23/2020,64.9,91.5,75.7,51.51,0.0,7.5,0.0,Clear
04/24/2020,66.7,92.5,80.5,42.95,0.0,8.0,0.0,Clear
04/25/2020,69.0,89.7,78.0,49.75,0.0,7.6,0.0,Clear
04/26/2020,64.7,84.5,73.4,57.29,0.0,6.9,0.2,Clear
04/27/2020,62.8,79.8,71.7,61.3,0.0,6.9,8.3,Clear
04/28/2020,63.6,82.8,71.3,64.25,0.0,7.6,4.6,Clear
04/29/2020,64.0,77.8,68.1,71.17,0.0,5.9,41.4,Partially cloudy
04/30/2020,64.0,75.6,67.8,70.89,0.0,6.1,55.2,Partially cloudy
05/01/2020,62.9,76.7,69.3,61.14,0.0,7.6,26.4,Partially cloudy
05/02/2020,62.9,77.9,69.9,59.72,0.0,9.1,7.4,Clear
05/03/2020,62.0,75.6,68.7,61.69,0.0,9.6,7.1,Clear
05/04/2020,60.1,81.7,70.9,58.86,0.0,8.3,0.0,Clear
05/05/2020,62.4,87.8,75.9,47.77,0.0,8.6,0.0,Clear
05/06/2020,64.9,90.8,78.6,40.5,0.0,5.8,0.0,Clear
05/07/2020,69.0,93.4,78.6,44.34,0.0,4.6,0.0,Clear
05/08/2020,66.7,87.5,73.9,62.37,0.0,3.1,3.0,Clear
05/09/2020,65.0,77.9,70.3,67.54,0.0,2.8,29.4,Partially cloudy
05/10/2020,62.9,75.6,67.3,69.56,0.0,2.7,62.4,Partially cloudy
05/11/2020,62.9,73.8,67.4,62.59,0.0,6.8,48.0,Partially cloudy
05/12/2020,61.0,73.0,66.3,60.77,0.0,9.9,42.4,Partially cloudy
05/13/2020,59.0,73.9,67.0,56.08,0.0,9.9,10.5,Clear
05/14/2020,62.8,75.7,69.3,56.37,0.0,9.9,0.2,Clear
05/15/2020,64.9,78.7,70.9,57.38,0.0,9.9,11.5,Clear
05/16/2020,62.0,81.8,71.9,53.75,0.0,9.9,0.0,Clear
05/17/2020,65.8,81.8,70.9,60.56,0.0,9.7,26.9,Partially cloudy
05/18/2020,62.9,73.0,67.9,66.23,0.08,9.2,66.4,"Rain, Partially cloudy"
05/19/2020,57.7,71.8,65.3,56.88,0.0,9.9,10.7,Clear
05/20/2020,60.9,74.7,67.1,56.31,0.0,9.9,8.5,Clear
05/21/2020,60.1,79.8,69.5,53.72,0.0,9.9,0.0,Clear
05/22/2020,62.9,76.9,67.8,64.53,0.0,9.8,26.3,Partially cloudy
05/23/2020,62.1,73.8,66.9,60.27,0.0,9.9,38.3,Partially cloudy
05/24/2020,59.0,77.8,66.4,68.11,0.0,9.1,11.4,Clear
05/25/2020,60.2,76.7,68.0,66.9,0.0,9.1,0.4,Clear
05/26/2020,61.0,79.8,68.2,69.99,0.0,7.7,23.4,Clear
05/27/2020,60.1,78.7,67.0,72.74,0.0,7.1,36.7,Partially cloudy
05/28/2020,62.0,74.7,67.1,71.66,0.0,7.7,55.8,Partially cloudy
05/29/2020,62.9,71.8,66.0,72.94,0.0,8.7,92.3,Overcast
05/30/2020,61.1,74.0,66.5,67.16,0.0,9.9,43.7,Partially cloudy
05/31/2020,59.0,73.9,66.6,67.78,0.0,9.9,3.4,Clear
06/01/2020,61.1,78.9,70.8,58.75,0.0,9.9,0.0,Clear
06/02/2020,62.1,80.8,70.6,59.85,0.0,9.8,0.0,Clear
06/03/2020,64.9,87.6,74.2,56.07,0.0,9.9,0.2,Clear
06/04/2020,64.1,76.6,69.8,68.13,0.0,8.8,46.4,Partially cloudy
06/05/2020,65.0,73.0,67.7,64.36,0.0,9.9,93.0,Overcast
06/06/2020,63.0,73.0,66.9,66.41,0.0,9.9,53.2,Partially cloudy
06/07/2020,62.0,75.7,69.3,52.29,0.0,9.9,14.5,Clear
06/08/2020,65.9,87.0,76.8,17.29,0.0,9.9,0.0,Clear
06/09/2020,66.7,96.8,81.8,14.79,0.0,9.9,0.0,Clear
06/10/2020,71.1,97.7,82.2,20.71,0.0,9.9,0.0,Clear
06/11/2020,64.9,88.8,75.3,50.03,0.0,9.9,0.0,Clear
06/12/2020,62.9,75.7,68.2,66.52,0.0,9.7,27.3,Partially cloudy
06/13/2020,62.9,74.8,67.9,61.72,0.0,9.9,3.7,Clear
06/14/2020,62.0,78.8,69.2,59.54,0.0,9.9,4.6,Clear
06/15/2020,63.0,79.8,69.1,67.45,0.0,9.9,12.7,Clear
06/16/2020,65.0,73.0,67.9,67.76,0.0,9.9,61.5,Partially cloudy
06/17/2020,65.0,74.0,69.4,64.28,0.0,9.9,66.8,Partially cloudy
06/18/2020,63.0,71.9,66.8,68.56,0.0,9.6,64.2,Partially cloudy
06/19/2020,63.0,73.8,67.8,67.08,0.0,9.9,57.3,Partially cloudy
06/20/2020,64.1,71.9,66.3,71.63,0.0,9.9,83.7,Overcast
06/21/2020,65.0,75.6,68.2,67.74,0.0,9.9,60.1,Partially cloudy
06/22/2020,64.1,78.8,69.1,70.62,0.0,8.4,53.4,Partially cloudy
06/23/2020,64.1,79.3,68.8,74.03,0.0,8.2,66.8,Partially cloudy
06/24/2020,62.9,75.6,67.7,73.18,0.0,7.9,63.7,Partially cloudy
06/25/2020,64.1,75.7,68.4,70.55,0.0,9.1,54.8,Partially cloudy
06/26/2020,63.0,74.8,67.9,71.69,0.0,9.6,50.1,Partially cloudy
06/27/2020,62.1,76.7,68.2,71.83,0.0,8.1,51.6,Partially cloudy
06/28/2020,65.0,70.9,68.0,70.1,0.0,9.9,91.4,Overcast
06/29/2020,64.1,73.0,68.0,65.4,0.0,9.9,55.5,Partially cloudy
06/30/2020,61.1,73.9,67.2,67.44,0.0,9.9,29.6,Partially cloudy
07/01/2020,64.1,74.0,68.3,67.51,0.0,9.9,61.8,Partially cloudy
07/02/2020,63.0,76.9,69.2,65.61,0.0,9.9,48.6,Partially cloudy
07/03/2020,61.1,78.8,70.7,65.86,0.0,9.8,0.1,Clear
07/04/2020,64.1,82.7,72.4,62.23,0.0,8.9,2.2,Clear
07/05/2020,64.1,88.8,74.7,59.53,0.0,5.4,3.1,Clear
07/06/2020,65.9,85.7,75.2,59.87,0.0,9.0,4.4,Clear
07/07/2020,65.9,80.8,73.4,61.19,0.0,9.2,10.8,Clear
07/08/2020,65.0,82.0,71.9,65.55,0.0,9.1,16.9,Clear
07/09/2020,64.2,79.9,71.6,67.83,0.0,8.5,29.0,Partially cloudy
07/10/2020,64.1,84.5,72.9,68.01,0.0,7.0,33.5,Partially cloudy
07/11/2020,65.0,88.8,75.6,59.72,0.0,9.1,0.7,Clear
07/12/2020,68.0,89.7,76.8,57.21,0.0,9.8,0.0,Clear
07/13/2020,66.0,83.7,74.5,67.6,0.0,8.8,4.6,Clear
07/14/2020,65.0,79.8,71.6,66.92,0.0,9.4,44.1,Partially cloudy
07/15/2020,64.2,77.9,70.1,66.66,0.0,9.3,43.3,Partially cloudy
07/16/2020,63.0,77.9,68.9,68.58,0.0,9.4,33.5,Partially cloudy
07/17/2020,64.2,78.0,69.8,68.12,0.0,9.7,25.4,Partially cloudy
07/18/2020,63.0,75.7,69.3,68.8,0.0,9.9,0.1,Clear
07/19/2020,62.9,77.8,68.2,70.77,0.0,9.2,16.5,Clear
07/20/2020,62.9,77.9,69.3,68.29,0.0,9.7,9.5,Clear
07/21/2020,62.9,79.8,69.4,67.39,0.0,9.7,0.3,Clear
07/22/2020,60.2,73.0,65.9,74.17,0.0,8.2,61.5,Partially cloudy
07/23/2020,62.1,75.7,67.4,67.9,0.0,9.2,55.4,Partially cloudy
07/24/2020,62.1,78.8,68.1,68.28,0.0,9.0,35.8,Partially cloudy
07/25/2020,61.2,77.9,68.1,70.63,0.0,8.4,35.9,Partially cloudy
07/26/2020,61.1,75.6,67.2,72.24,0.0,9.0,10.7,Clear
07/27/2020,62.1,73.9,67.0,71.56,0.0,9.2,6.3,Clear
07/28/2020,61.1,75.6,66.9,71.6,0.0,8.2,19.2,Clear
07/29/2020,62.0,76.7,67.1,72.97,0.0,7.4,43.5,Partially cloudy
07/30/2020,61.0,81.7,68.9,69.57,0.0,7.6,39.0,Partially cloudy
07/31/2020,64.1,87.5,73.6,60.28,0.01,8.5,0.0,Rain
08/01/2020,62.1,90.6,75.2,60.98,0.0,7.9,0.0,Clear
08/02/2020,66.7,85.5,73.6,69.76,0.0,6.7,8.1,Clear
08/03/2020,66.8,81.8,73.1,69.79,0.0,6.2,13.7,Clear
08/04/2020,66.7,78.0,70.9,72.22,0.0,7.9,46.2,Partially cloudy
08/05/2020,65.0,75.7,69.9,70.12,0.0,9.9,58.0,Partially cloudy
08/06/2020,64.1,79.8,70.2,64.05,0.0,9.9,53.6,Partially cloudy
08/07/2020,64.1,78.7,70.8,64.82,0.0,9.7,0.0,Clear
08/08/2020,63.0,79.8,69.7,66.76,0.0,9.8,0.0,Clear
08/09/2020,62.1,78.7,69.0,67.66,0.0,9.8,0.5,Clear
08/10/2020,62.1,76.8,68.1,69.8,0.0,9.4,25.8,Partially cloudy
08/11/2020,61.1,74.8,67.8,69.26,0.0,9.1,21.1,Clear
08/12/2020,60.2,84.4,71.3,61.7,0.0,9.8,0.0,Clear
08/13/2020,66.8,86.9,75.8,52.35,0.0,9.9,0.2,Clear
08/14/2020,71.0,90.9,79.8,54.13,0.0,9.5,0.0,Clear
08/15/2020,73.0,97.3,82.1,54.96,0.0,9.3,0.0,Clear
08/16/2020,73.9,92.8,81.7,56.8,0.0,9.3,0.2,Clear
08/17/2020,73.0,87.7,78.6,64.69,0.0,9.0,0.0,Clear
08/18/2020,71.9,95.9,81.1,59.36,0.0,8.3,0.0,Clear
08/19/2020,75.8,93.6,82.4,55.36,0.0,8.6,0.0,Clear
08/20/2020,73.2,91.9,80.3,61.63,0.0,8.2,0.1,Clear
08/21/2020,73.1,89.6,80.4,64.29,0.0,7.0,1.5,Clear
08/22/2020,73.0,94.8,82.1,58.55,0.0,6.0,2.2,Clear
08/23/2020,74.0,87.9,80.2,67.14,0.0,6.6,2.8,Clear
08/24/2020,71.0,80.6,74.5,75.5,0.0,7.8,40.1,Partially cloudy
08/25/2020,70.0,84.5,75.6,70.26,0.0,8.7,5.3,Clear
08/26/2020,66.0,85.7,74.7,70.27,0.0,8.1,10.2,Clear
08/27/2020,68.0,87.8,75.5,62.54,0.0,7.9,0.0,Clear
08/28/2020,65.0,83.5,71.9,66.51,0.0,8.7,0.1,Clear
08/29/2020,63.0,78.8,69.1,69.28,0.0,8.6,35.7,Partially cloudy
08/30/2020,63.0,77.9,69.0,68.87,0.0,8.6,40.1,Partially cloudy
08/31/2020,65.1,75.7,69.1,68.69,0.0,8.8,50.9,Partially cloudy
09/01/2020,65.9,77.9,69.8,67.14,0.0,9.1,45.9,Partially cloudy
09/02/2020,64.1,77.8,69.8,69.34,0.0,8.7,0.7,Clear
09/03/2020,65.0,81.8,71.6,68.49,0.0,7.8,0.0,Clear
09/04/2020,66.8,85.8,74.7,64.7,0.0,7.1,0.0,Clear
09/05/2020,69.1,98.7,83.6,50.41,0.0,7.6,0.0,Clear
09/06/2020,76.7,108.3,90.6,37.28,0.0,7.6,0.0,Clear
09/07/2020,73.1,85.8,80.4,62.26,0.0,6.7,1.1,Clear
09/08/2020,71.9,79.0,74.9,70.2,0.0,6.6,96.3,Overcast
09/09/2020,67.9,81.8,73.7,67.71,0.0,6.7,3.2,Clear
09/10/2020,63.0,78.8,70.0,70.54,0.0,5.5,4.3,Clear
09/11/2020,62.1,82.8,71.3,58.96,0.0,4.9,12.4,Clear
09/12/2020,62.9,80.8,70.2,59.81,0.0,4.3,19.1,Clear
09/13/2020,62.0,84.4,70.5,66.35,0.0,3.6,0.0,Clear
09/14/2020,62.1,84.6,72.2,61.92,0.0,3.5,2.3,Clear
09/15/2020,63.0,85.7,72.8,58.69,0.0,3.3,0.0,Clear
09/16/2020,64.0,91.8,75.3,49.27,0.0,5.1,0.0,Clear
09/17/2020,62.9,91.6,74.9,46.51,0.01,6.8,0.0,Rain
09/18/2020,66.8,94.7,77.6,48.6,0.0,6.7,0.0,Clear
09/19/2020,66.8,85.4,74.4,58.58,0.0,7.9,0.0,Clear
09/20/2020,62.9,79.8,70.1,72.18,0.0,6.3,13.3,Clear
09/21/2020,65.9,78.9,70.7,70.93,0.0,6.0,48.5,Partially cloudy
09/22/2020,65.0,81.8,70.9,71.11,0.0,6.2,41.2,Partially cloudy
09/23/2020,63.0,83.7,71.4,69.33,0.0,6.3,18.4,Clear
09/24/2020,63.0,86.8,73.0,64.87,0.0,7.5,0.0,Clear
09/25/2020,66.0,80.7,71.7,71.13,0.0,6.9,29.4,Partially cloudy
09/26/2020,65.9,80.0,71.2,73.51,0.0,6.9,35.5,Partially cloudy
09/27/2020,68.0,79.8,72.2,71.22,0.0,7.4,55.5,Partially cloudy
09/28/2020,65.9,84.6,73.1,71.72,0.0,7.1,18.7,Clear
09/29/2020,65.9,92.4,75.2,67.28,0.0,6.9,36.4,Partially cloudy
09/30/2020,67.9,101.4,81.1,47.14,0.0,9.6,0.0,Clear
